-----|NEW SCRAPPING APP|-------------
Started at: Tue Dec 15 21:58:23 CET 2020
Initial data load file: ..//mm-IMDb-database//imbd-data//MovieGenreIGC_v3.xlsx
-------------------------------------
-----|EXCEL SCRAPPING STATISTICS|----
Scrapping rows from 0 to 9000 [total rows = 39966]
Successful Excel scraps: 8971/9000
-------------------------------------
-----|STARTING WEB SCRAPPING|-----
--------|Mode: full scrap|--------
Scrapped film: 49733 (7 seconds)
Scrapped film: 72869 (6 seconds)
Scrapped film: 35771 (6 seconds)
Scrapped film: 61313 (5 seconds)
Scrapped film: 68361 (6 seconds)
Scrapped film: 31022 (7 seconds)
Scrapped film: 42192 (5 seconds)
Scrapped film: 23101 (5 seconds)
Scrapped film: 72871 (6 seconds)
Scrapped film: 49743 (7 seconds)
Scrapped film: 35777 (6 seconds)
Scrapped film: 31033 (5 seconds)
Scrapped film: 42200 (5 seconds)
Scrapped film: 68364 (6 seconds)
Scrapped film: 23125 (6 seconds)
Scrapped film: 61320 (8 seconds)
Scrapped film: 72882 (6 seconds)
Scrapped film: 31045 (5 seconds)
Scrapped film: 49745 (6 seconds)
Scrapped film: 35784 (6 seconds)
Scrapped film: 42206 (5 seconds)
Scrapped film: 23137 (5 seconds)
Scrapped film: 68367 (7 seconds)
Scrapped film: 61328 (7 seconds)
Scrapped film: 31047 (5 seconds)
Scrapped film: 23151 (5 seconds)
Scrapped film: 42208 (5 seconds)
Scrapped film: 49762 (6 seconds)
Scrapped film: 72886 (7 seconds)
Scrapped film: 35788 (6 seconds)
Scrapped film: 68369 (6 seconds)
Scrapped film: 61329 (7 seconds)
Scrapped film: 31058 (5 seconds)
Scrapped film: 23158 (5 seconds)
Scrapped film: 42209 (5 seconds)
Scrapped film: 49763 (6 seconds)
Scrapped film: 72890 (6 seconds)
Scrapped film: 35790 (6 seconds)
Scrapped film: 68370 (7 seconds)
Scrapped film: 31060 (5 seconds)
Scrapped film: 23180 (5 seconds)
Scrapped film: 42211 (5 seconds)
Scrapped film: 61334 (7 seconds)
Scrapped film: 49769 (6 seconds)
Scrapped film: 35794 (7 seconds)
Scrapped film: 72895 (7 seconds)
Scrapped film: 31066 (5 seconds)
Scrapped film: 68371 (6 seconds)
Scrapped film: 23181 (5 seconds)
Scrapped film: 42219 (5 seconds)
Scrapped film: 61343 (6 seconds)
Scrapped film: 31067 (5 seconds)
Scrapped film: 35796 (6 seconds)
Scrapped film: 49777 (7 seconds)
Scrapped film: 23194 (5 seconds)
Scrapped film: 72901 (7 seconds)
Scrapped film: 68375 (6 seconds)
Scrapped film: 42229 (5 seconds)
Scrapped film: 61369 (6 seconds)
Scrapped film: 31088 (5 seconds)
Scrapped film: 23196 (5 seconds)
Scrapped film: 72902 (6 seconds)
Scrapped film: 35798 (7 seconds)
Scrapped film: 42247 (5 seconds)
Scrapped film: 68379 (6 seconds)
Scrapped film: 49778 (8 seconds)
Scrapped film: 61385 (6 seconds)
Scrapped film: 31104 (6 seconds)
Scrapped film: 23198 (5 seconds)
Scrapped film: 42249 (5 seconds)
Scrapped film: 68380 (6 seconds)
Scrapped film: 35799 (6 seconds)
Scrapped film: 72912 (7 seconds)
Scrapped film: 49782 (7 seconds)
Scrapped film: 61389 (6 seconds)
Scrapped film: 31121 (6 seconds)
Scrapped film: 23202 (6 seconds)
Scrapped film: 42256 (5 seconds)
Scrapped film: 68384 (5 seconds)
Scrapped film: 35800 (6 seconds)
Scrapped film: 72913 (6 seconds)
Scrapped film: 49783 (7 seconds)
Scrapped film: 31122 (5 seconds)
Scrapped film: 61390 (6 seconds)
Scrapped film: 42257 (5 seconds)
Scrapped film: 23215 (6 seconds)
Scrapped film: 68389 (5 seconds)
Scrapped film: 35807 (6 seconds)
Scrapped film: 72919 (7 seconds)
Scrapped film: 61391 (5 seconds)
Scrapped film: 42262 (5 seconds)
Scrapped film: 23225 (5 seconds)
Scrapped film: 31124 (7 seconds)
Scrapped film: 68394 (6 seconds)
Scrapped film: 49784 (7 seconds)
Scrapped film: 35823 (6 seconds)
Scrapped film: 61395 (5 seconds)
Scrapped film: 72926 (6 seconds)
Scrapped film: 31125 (5 seconds)
Scrapped film: 42265 (5 seconds)
Scrapped film: 23236 (6 seconds)
Scrapped film: 49787 (6 seconds)
Scrapped film: 68408 (8 seconds)
Scrapped film: 61398 (5 seconds)
Scrapped film: 35836 (6 seconds)
Scrapped film: 31133 (5 seconds)
Scrapped film: 72930 (6 seconds)
Scrapped film: 42266 (5 seconds)
Scrapped film: 23236 (6 seconds)
Scrapped film: 49794 (6 seconds)
Scrapped film: 61401 (5 seconds)
Scrapped film: 35860 (7 seconds)
Scrapped film: 31143 (6 seconds)
Scrapped film: 68414 (7 seconds)
Scrapped film: 42274 (5 seconds)
Scrapped film: 72933 (6 seconds)
Scrapped film: 61404 (5 seconds)
Scrapped film: 49800 (6 seconds)
Scrapped film: 23238 (7 seconds)
Scrapped film: 68416 (6 seconds)
Scrapped film: 42275 (6 seconds)
Scrapped film: 35881 (6 seconds)
Scrapped film: 31147 (8 seconds)
Scrapped film: 72951 (7 seconds)
Scrapped film: 61405 (6 seconds)
Scrapped film: 49815 (7 seconds)
Scrapped film: 23240 (7 seconds)
Scrapped film: 68421 (5 seconds)
Scrapped film: 42276 (5 seconds)
Scrapped film: 35883 (6 seconds)
Scrapped film: 31148 (8 seconds)
Scrapped film: 61407 (7 seconds)
Scrapped film: 72958 (7 seconds)
Scrapped film: 42279 (5 seconds)
Scrapped film: 23241 (7 seconds)
Scrapped film: 49829 (7 seconds)
Scrapped film: 35884 (6 seconds)
Scrapped film: 68424 (7 seconds)
Scrapped film: 72962 (6 seconds)
Scrapped film: 42281 (6 seconds)
Scrapped film: 31149 (8 seconds)
Scrapped film: 61410 (8 seconds)
Scrapped film: 68431 (5 seconds)
Scrapped film: 23243 (6 seconds)
Scrapped film: 35885 (6 seconds)
Scrapped film: 49830 (7 seconds)
Scrapped film: 42281 (5 seconds)
Scrapped film: 72966 (6 seconds)
Scrapped film: 68441 (6 seconds)
Scrapped film: 35896 (6 seconds)
Scrapped film: 23245 (7 seconds)
Scrapped film: 31173 (8 seconds)
Scrapped film: 61411 (7 seconds)
Scrapped film: 49833 (9 seconds)
Scrapped film: 42282 (6 seconds)
